Sl no,Debit,Credit,Date,Transaction Description,Status
658,0,48116,10/20/22,Groceries,
659,0,47379,10/21/22,Miscellaneous,
660,0,18385,10/22/22,Utilities,
661,-20000,76131,10/23/22,EMI Car Loan,
662,0,121230,10/24/22,Dining Out,
663,0,146489,10/25/22,Utilities,
664,-30000,0,10/26/22,EMI Home Loan,
665,0,150000,10/27/22,Salary,
666,0,50793,10/28/22,Miscellaneous,
667,-40177,0,10/29/22,Dining Out,
668,-30000,141232,10/30/22,EMI Home Loan,
669,-20000,0,10/31/22,EMI Car Loan,
670,-40460,0,11/1/22,Groceries,
671,-33636,0,11/2/22,Utilities,
672,0,150000,11/3/22,Salary,
673,-22337,0,11/4/22,Utilities,
674,0,1991,11/5/22,Miscellaneous,
675,-20000,138751,11/6/22,EMI Car Loan,
676,0,54182,11/7/22,Utilities,
677,0,150000,11/8/22,Salary,
678,-20000,44704,11/9/22,EMI Car Loan,
679,-885,0,11/10/22,Utilities,
680,0,41007,11/11/22,Groceries,
681,0,169295,11/12/22,Dining Out,
682,-20000,141962,11/13/22,EMI Car Loan,
683,0,147459,11/14/22,Dining Out,
684,-20000,99143,11/15/22,EMI Car Loan,
685,0,140347,11/16/22,Groceries,
686,0,153441,11/17/22,Dining Out,
687,-30000,0,11/18/22,EMI Home Loan,
688,0,150000,11/19/22,Salary,
689,-30000,41680,11/20/22,EMI Home Loan,
690,-46000,0,11/21/22,Utilities,
691,0,151660,11/22/22,Groceries,
692,-30000,51042,11/23/22,EMI Home Loan,
693,-20000,43610,11/24/22,EMI Car Loan,
694,0,53691,11/25/22,Utilities,
695,0,187378,11/26/22,Utilities,
696,-30000,178928,11/27/22,EMI Home Loan,
697,-30000,0,11/28/22,EMI Home Loan,
698,0,192855,11/29/22,Groceries,
699,0,150000,11/30/22,Salary,
700,-30000,32986,12/1/22,EMI Home Loan,
701,0,170715,12/2/22,Miscellaneous,
702,-30000,101836,12/3/22,EMI Home Loan,
703,0,58940,12/4/22,Dining Out,
704,-20000,167099,12/5/22,EMI Car Loan,
705,-11506,0,12/6/22,Miscellaneous,
706,-46627,0,12/7/22,Miscellaneous,
707,0,93233,12/8/22,Dining Out,
708,0,47532,12/9/22,Dining Out,
709,0,42658,12/10/22,Utilities,
710,0,150000,12/11/22,Salary,
711,-20000,50386,12/12/22,EMI Car Loan,
712,-22650,0,12/13/22,Groceries,
713,0,43008,12/14/22,Miscellaneous,
714,0,44297,12/15/22,Groceries,
715,-30000,0,12/16/22,EMI Home Loan,
716,-30000,38668,12/17/22,EMI Home Loan,
717,0,64585,12/18/22,Groceries,
718,-30000,96377,12/19/22,EMI Home Loan,
719,0,150000,12/20/22,Salary,
720,0,157869,12/21/22,Dining Out,
721,-30000,15953,12/22/22,EMI Home Loan,
722,0,7458,12/23/22,Utilities,
723,-30000,188184,12/24/22,EMI Home Loan,
724,-20000,0,12/25/22,EMI Car Loan,
725,-46733,150000,12/26/22,Salary,
726,-20000,32745,12/27/22,EMI Car Loan,
727,-20000,39588,12/28/22,EMI Car Loan,
728,-11487,0,12/29/22,Utilities,
729,0,150000,12/30/22,Salary,
730,-38662,150000,12/31/22,Salary,
731,0,200000,1/1/23,Salary,
732,-42457,,1/2/23,Salary,
733,0,,1/3/23,Salary,
734,0,,1/4/23,Utilities,
735,-30000,,1/5/23,EMI Home Loan,
736,-20000,,1/6/23,EMI Car Loan,
737,0,,1/7/23,Salary,
738,-5575,,1/8/23,Miscellaneous,
739,-30000,,1/9/23,EMI Home Loan,
740,-30000,,1/10/23,EMI Home Loan,
741,-20000,,1/11/23,EMI Car Loan,
742,-2705,,1/12/23,Utilities,
743,0,,1/13/23,Groceries,
744,0,,1/14/23,Groceries,
745,-30000,,1/15/23,EMI Home Loan,
746,0,,1/16/23,Dining Out,
747,-32045,,1/17/23,Dining Out,
748,-20000,,1/18/23,EMI Car Loan,
749,0,,1/19/23,Groceries,
750,-30000,,1/20/23,EMI Home Loan,
751,0,,1/21/23,Utilities,
752,0,,1/22/23,Groceries,
753,-30000,,1/23/23,EMI Home Loan,
754,-30000,,1/24/23,EMI Home Loan,
755,0,,1/25/23,Salary,
756,0,,1/26/23,Utilities,
757,-5189,,1/27/23,Salary,
758,-20000,,1/28/23,EMI Car Loan,
759,0,,1/29/23,Salary,
760,0,,1/30/23,Miscellaneous,
761,0,,1/31/23,Salary,
762,0,62856,2/1/23,Miscellaneous,
763,0,18450,2/2/23,Groceries,
764,0,102424,2/3/23,Dining Out,
765,-30000,136141,2/4/23,EMI Home Loan,
766,0,61888,2/5/23,Miscellaneous,
767,0,60448,2/6/23,Utilities,
768,-35603,150000,2/7/23,Salary,
769,0,122627,2/8/23,Miscellaneous,
770,0,128031,2/9/23,Utilities,
771,0,81800,2/10/23,Dining Out,
772,0,131589,2/11/23,Dining Out,
773,0,150000,2/12/23,Salary,
774,-20000,16234,2/13/23,EMI Car Loan,
775,-10046,150000,2/14/23,Salary,
776,0,128352,2/15/23,Groceries,
777,0,29459,2/16/23,Miscellaneous,
778,-30000,97851,2/17/23,EMI Home Loan,
779,-20000,145004,2/18/23,EMI Car Loan,
780,0,150000,2/19/23,Salary,
781,0,105538,2/20/23,Utilities,
782,-20000,118011,2/21/23,EMI Car Loan,
783,0,150968,2/22/23,Miscellaneous,
784,-20000,116342,2/23/23,EMI Car Loan,
785,0,9163,2/24/23,Miscellaneous,
786,0,150000,2/25/23,Salary,
787,0,1934,2/26/23,Miscellaneous,
788,-20000,145967,2/27/23,EMI Car Loan,
789,0,113379,2/28/23,Utilities,
790,0,4098,3/1/23,Dining Out,
791,-20000,141993,3/2/23,EMI Car Loan,
792,-44514,0,3/3/23,Miscellaneous,
793,0,89407,3/4/23,Dining Out,
794,0,36900,3/5/23,Miscellaneous,
795,0,76020,3/6/23,Utilities,
796,0,52795,3/7/23,Miscellaneous,
797,0,150000,3/8/23,Salary,
798,-30000,178275,3/9/23,EMI Home Loan,
799,-20000,92202,3/10/23,EMI Car Loan,
800,-30000,37508,3/11/23,EMI Home Loan,
801,0,187027,3/12/23,Miscellaneous,
802,0,68324,3/13/23,Utilities,
803,-20000,10566,3/14/23,EMI Car Loan,
804,0,147775,3/15/23,Miscellaneous,
805,-22808,0,3/16/23,Dining Out,
806,-48938,0,3/17/23,Groceries,
807,0,34076,3/18/23,Miscellaneous,
808,-30000,39780,3/19/23,EMI Home Loan,
809,-20000,102617,3/20/23,EMI Car Loan,
810,-30000,0,3/21/23,EMI Home Loan,
811,-20000,0,3/22/23,EMI Car Loan,
812,0,38461,3/23/23,Miscellaneous,
813,0,150000,3/24/23,Salary,
814,0,53033,3/25/23,Dining Out,
815,-40652,0,3/26/23,Miscellaneous,
816,-30000,104786,3/27/23,EMI Home Loan,
817,-11898,0,3/28/23,Groceries,
818,0,24460,3/29/23,Groceries,
819,0,52634,3/30/23,Utilities,
820,-20000,39930,3/31/23,EMI Car Loan,
821,-30000,0,4/1/23,EMI Home Loan,
822,0,53150,4/2/23,Utilities,
823,-30000,153339,4/3/23,EMI Home Loan,
824,-20000,129208,4/4/23,EMI Car Loan,
825,0,104697,4/5/23,Miscellaneous,
826,0,163945,4/6/23,Miscellaneous,
827,0,181915,4/7/23,Groceries,
828,0,153664,4/8/23,Miscellaneous,
829,0,158124,4/9/23,Miscellaneous,
830,0,150000,4/10/23,Salary,
831,-48458,0,4/11/23,Groceries,
832,-28323,0,4/12/23,Utilities,
833,0,127804,4/13/23,Dining Out,
834,0,150000,4/14/23,Salary,
835,-10919,0,4/15/23,Utilities,
836,-20000,143928,4/16/23,EMI Car Loan,
837,0,150000,4/17/23,Salary,
838,0,169930,4/18/23,Utilities,
839,-20000,0,4/19/23,EMI Car Loan,
840,0,164532,4/20/23,Groceries,
841,0,38092,4/21/23,Dining Out,
842,-20000,4693,4/22/23,EMI Car Loan,
843,-23038,0,4/23/23,Miscellaneous,
844,-30000,0,4/24/23,EMI Home Loan,
845,-20000,0,4/25/23,EMI Car Loan,
846,-20000,123420,4/26/23,EMI Car Loan,
847,0,107504,4/27/23,Dining Out,
848,-30000,164357,4/28/23,EMI Home Loan,
849,0,188067,4/29/23,Miscellaneous,
850,0,172864,4/30/23,Utilities,
851,0,138926,5/1/23,Utilities,
852,-20000,121334,5/2/23,EMI Car Loan,
853,-30000,118152,5/3/23,EMI Home Loan,
854,-30000,82396,5/4/23,EMI Home Loan,
855,0,41267,5/5/23,Miscellaneous,
856,0,116981,5/6/23,Dining Out,
857,0,170411,5/7/23,Groceries,
858,-30130,0,5/8/23,Utilities,
859,0,115650,5/9/23,Dining Out,
860,0,150000,5/10/23,Salary,
861,0,198683,5/11/23,Utilities,
862,0,184677,5/12/23,Dining Out,
863,-23210,0,5/13/23,Utilities,
864,0,68874,5/14/23,Groceries,
865,-24711,150000,5/15/23,Salary,
866,0,136201,5/16/23,Groceries,
867,0,174786,5/17/23,Miscellaneous,
868,0,150000,5/18/23,Salary,
869,-20000,0,5/19/23,EMI Car Loan,
870,-5518,0,5/20/23,Dining Out,
871,0,150000,5/21/23,Salary,
872,-45252,0,5/22/23,Miscellaneous,
873,0,167841,5/23/23,Miscellaneous,
874,0,90507,5/24/23,Groceries,
875,-46291,0,5/25/23,Utilities,
876,0,150000,5/26/23,Salary,
877,-19645,0,5/27/23,Dining Out,
878,0,150000,5/28/23,Salary,
879,-30000,138871,5/29/23,EMI Home Loan,
880,0,94188,5/30/23,Utilities,
881,0,106542,5/31/23,Dining Out,
882,0,123416,6/1/23,Dining Out,
883,-20000,0,6/2/23,EMI Car Loan,
884,0,2224,6/3/23,Groceries,
885,-20000,0,6/4/23,EMI Car Loan,
886,0,189564,6/5/23,Dining Out,
887,0,30219,6/6/23,Utilities,
888,0,150000,6/7/23,Salary,
889,0,150000,6/8/23,Salary,
890,0,180590,6/9/23,Utilities,
891,0,180907,6/10/23,Dining Out,
892,-21984,0,6/11/23,Miscellaneous,
893,-26040,150000,6/12/23,Salary,
894,-16409,0,6/13/23,Miscellaneous,
895,0,150000,6/14/23,Salary,
896,0,150000,6/15/23,Salary,
897,0,192804,6/16/23,Groceries,
898,0,64821,6/17/23,Groceries,
899,-30000,148713,6/18/23,EMI Home Loan,
900,-20000,0,6/19/23,EMI Car Loan,
901,0,192348,6/20/23,Utilities,
902,0,79695,6/21/23,Utilities,
903,0,103772,6/22/23,Utilities,
904,-30000,0,6/23/23,EMI Home Loan,
905,0,184286,6/24/23,Groceries,
906,0,78148,6/25/23,Dining Out,
907,-29441,0,6/26/23,Miscellaneous,
908,0,174117,6/27/23,Miscellaneous,
909,0,43396,6/28/23,Dining Out,
910,-30000,142714,6/29/23,EMI Home Loan,
911,0,157611,6/30/23,Dining Out,
912,-28268,0,7/1/23,Utilities,
913,-20000,41362,7/2/23,EMI Car Loan,
914,0,150000,7/3/23,Salary,
915,-36157,0,7/4/23,Miscellaneous,
916,0,191080,7/5/23,Groceries,
917,0,64065,7/6/23,Groceries,
918,-30000,21726,7/7/23,EMI Home Loan,
919,-32360,0,7/8/23,Groceries,
920,0,2528,7/9/23,Utilities,
921,-11587,0,7/10/23,Miscellaneous,
922,0,2638,7/11/23,Dining Out,
923,0,133808,7/12/23,Utilities,
924,-30000,188964,7/13/23,EMI Home Loan,
925,0,60133,7/14/23,Utilities,
926,0,56357,7/15/23,Dining Out,
927,-20000,149938,7/16/23,EMI Car Loan,
928,-30000,100159,7/17/23,EMI Home Loan,
929,-20000,122502,7/18/23,EMI Car Loan,
930,0,150000,7/19/23,Salary,
931,-20000,88186,7/20/23,EMI Car Loan,
932,0,150000,7/21/23,Salary,
933,0,150000,7/22/23,Salary,
934,-20000,92047,7/23/23,EMI Car Loan,
935,-30000,0,7/24/23,EMI Home Loan,
936,-28553,0,7/25/23,Dining Out,
937,0,171541,7/26/23,Utilities,
938,0,75899,7/27/23,Utilities,
939,-26041,0,7/28/23,Dining Out,
940,0,16203,7/29/23,Miscellaneous,
941,0,69156,7/30/23,Miscellaneous,
942,0,150000,7/31/23,Salary,
943,-40663,150000,8/1/23,Salary,
944,-30000,0,8/2/23,EMI Home Loan,
945,0,11529,8/3/23,Groceries,
946,-20000,52023,8/4/23,EMI Car Loan,
947,0,150000,8/5/23,Salary,
948,0,55787,8/6/23,Utilities,
949,-30000,112993,8/7/23,EMI Home Loan,
950,-20000,0,8/8/23,EMI Car Loan,
951,-30000,108427,8/9/23,EMI Home Loan,
952,-20000,184340,8/10/23,EMI Car Loan,
953,-20000,77016,8/11/23,EMI Car Loan,
954,-45165,0,8/12/23,Dining Out,
955,-29841,150000,8/13/23,Salary,
956,-30000,185418,8/14/23,EMI Home Loan,
957,-30000,128677,8/15/23,EMI Home Loan,
958,0,71790,8/16/23,Dining Out,
959,0,55616,8/17/23,Utilities,
960,0,119160,8/18/23,Utilities,
961,0,28752,8/19/23,Miscellaneous,
962,0,150000,8/20/23,Salary,
963,0,150000,8/21/23,Salary,
964,0,116619,8/22/23,Groceries,
965,0,47007,8/23/23,Dining Out,
966,0,32844,8/24/23,Utilities,
967,-20000,0,8/25/23,EMI Car Loan,
968,-30000,115421,8/26/23,EMI Home Loan,
969,0,150000,8/27/23,Salary,
970,-30000,68012,8/28/23,EMI Home Loan,
971,-30000,126517,8/29/23,EMI Home Loan,
972,0,86785,8/30/23,Groceries,
973,0,6178,8/31/23,Utilities,
974,-593,150000,9/1/23,Salary,
975,-30000,151412,9/2/23,EMI Home Loan,
976,0,150000,9/3/23,Salary,
977,-20000,156744,9/4/23,EMI Car Loan,
978,0,79473,9/5/23,Groceries,
979,-20000,146617,9/6/23,EMI Car Loan,
980,0,150000,9/7/23,Salary,
981,0,8141,9/8/23,Miscellaneous,
982,0,150000,9/9/23,Salary,
983,0,6570,9/10/23,Utilities,
984,-30000,176156,9/11/23,EMI Home Loan,
985,-30000,118964,9/12/23,EMI Home Loan,
986,-20000,0,9/13/23,EMI Car Loan,
987,0,11813,9/14/23,Groceries,
988,-22288,0,9/15/23,Miscellaneous,
989,0,50497,9/16/23,Dining Out,
990,-30000,89487,9/17/23,EMI Home Loan,
991,0,192926,9/18/23,Utilities,
992,-20000,62816,9/19/23,EMI Car Loan,
993,-20000,78778,9/20/23,EMI Car Loan,
994,0,12292,9/21/23,Dining Out,
995,-26167,0,9/22/23,Utilities,
996,0,85230,9/23/23,Groceries,
997,0,143752,9/24/23,Utilities,
998,-29691,0,9/25/23,Groceries,
999,-43030,0,9/26/23,Utilities,
1000,0,22474,9/27/23,Utilities,
1001,0,150000,9/28/23,Salary,
1002,-20000,0,9/29/23,EMI Car Loan,
1003,0,101456,9/30/23,Utilities,
1004,-31983,0,10/1/23,Dining Out,
1005,0,25880,10/2/23,Utilities,
1006,-30000,55570,10/3/23,EMI Home Loan,
1007,-20000,0,10/4/23,EMI Car Loan,
1008,-30000,81456,10/5/23,EMI Home Loan,
1009,-20000,0,10/6/23,EMI Car Loan,
1010,-30000,122015,10/7/23,EMI Home Loan,
1011,0,128998,10/8/23,Utilities,
1012,0,110261,10/9/23,Utilities,
1013,-37237,150000,10/10/23,Salary,
1014,0,99456,10/11/23,Dining Out,
1015,-30000,141172,10/12/23,EMI Home Loan,
1016,0,48142,10/13/23,Groceries,
1017,0,150000,10/14/23,Salary,
1018,-30000,185365,10/15/23,EMI Home Loan,
1019,-30000,30642,10/16/23,EMI Home Loan,
1020,0,150000,10/17/23,Salary,
1021,-26426,0,10/18/23,Utilities,
1022,-30000,0,10/19/23,EMI Home Loan,
1023,0,150244,10/20/23,Utilities,
1024,-39084,150000,10/21/23,Salary,
1025,-45191,0,10/22/23,Utilities,
1026,-20000,113273,10/23/23,EMI Car Loan,
1027,0,134402,10/24/23,Groceries,
1028,0,94528,10/25/23,Miscellaneous,
1029,-30000,194820,10/26/23,EMI Home Loan,
1030,0,137469,10/27/23,Dining Out,
1031,0,71288,10/28/23,Groceries,
1032,-11235,0,10/29/23,Miscellaneous,
1033,0,115888,10/30/23,Utilities,
1034,-30000,0,10/31/23,EMI Home Loan,
1035,0,3932,11/1/23,Utilities,
1036,-20000,98172,11/2/23,EMI Car Loan,
1037,0,150000,11/3/23,Salary,
1038,-30000,0,11/4/23,EMI Home Loan,
1039,0,151152,11/5/23,Miscellaneous,
1040,-12256,0,11/6/23,Miscellaneous,
1041,-20000,126615,11/7/23,EMI Car Loan,
1042,-20000,58319,11/8/23,EMI Car Loan,
1043,-30000,42193,11/9/23,EMI Home Loan,
1044,-13813,0,11/10/23,Utilities,
1045,0,193806,11/11/23,Dining Out,
1046,0,88311,11/12/23,Miscellaneous,
1047,0,74454,11/13/23,Miscellaneous,
1048,-20000,0,11/14/23,EMI Car Loan,
1049,0,196009,11/15/23,Groceries,
1050,-20000,139089,11/16/23,EMI Car Loan,
1051,0,11877,11/17/23,Dining Out,
1052,0,124197,11/18/23,Utilities,
1053,-78,0,11/19/23,Utilities,
1054,0,44074,11/20/23,Groceries,
1055,0,113121,11/21/23,Miscellaneous,
1056,-20000,0,11/22/23,EMI Car Loan,
1057,0,124016,11/23/23,Utilities,
1058,0,65765,11/24/23,Dining Out,
1059,-30000,23963,11/25/23,EMI Home Loan,
1060,0,150000,11/26/23,Salary,
1061,0,150000,11/27/23,Salary,
1062,-25715,150000,11/28/23,Salary,
1063,-12374,0,11/29/23,Miscellaneous,
1064,-20000,123880,11/30/23,EMI Car Loan,
1065,0,169536,12/1/23,Groceries,
1066,0,134943,12/2/23,Utilities,
1067,-30000,0,12/3/23,EMI Home Loan,
1068,0,100830,12/4/23,Dining Out,
1069,-30000,0,12/5/23,EMI Home Loan,
1070,-5762,0,12/6/23,Dining Out,
1071,-48748,0,12/7/23,Miscellaneous,
1072,-20000,0,12/8/23,EMI Car Loan,
1073,0,150000,12/9/23,Salary,
1074,-20000,118513,12/10/23,EMI Car Loan,
1075,0,173306,12/11/23,Miscellaneous,
1076,0,3682,12/12/23,Groceries,
1077,0,9494,12/13/23,Groceries,
1078,0,31317,12/14/23,Miscellaneous,
1079,0,15215,12/15/23,Dining Out,
1080,0,28587,12/16/23,Utilities,
1081,0,186257,12/17/23,Utilities,
1082,-43051,0,12/18/23,Dining Out,
1083,0,188897,12/19/23,Groceries,
1084,0,5393,12/20/23,Groceries,
1085,0,154625,12/21/23,Groceries,
1086,-20000,88013,12/22/23,EMI Car Loan,
1087,-24066,0,12/23/23,Groceries,
1088,-30000,104458,12/24/23,EMI Home Loan,
1089,0,150000,12/25/23,Salary,
1090,0,25745,12/26/23,Groceries,
1091,0,164323,12/27/23,Dining Out,
1092,0,150000,12/28/23,Salary,
1093,-20000,3413,12/29/23,EMI Car Loan,
1094,0,137872,12/30/23,Dining Out,
1095,0,150000,12/31/23,Salary,
1096,-7682,0,1/1/24,Dining Out,
